@relation datostwitter_muestra

@attribute user {STARTECHEC,STEFANNY_QUIROZ,STEFANOPONCEJ,STEFANYVM92,SUDSYM,SUKITASANCHEZ,VEGA_JARRIN}
@attribute text {#593,#ABUELA,#ABUELITA,#AFILIACION,#ALLYOUNEEDISECUA,#ALLYOUNEEDISECUADOR,#ALLYOUNEEDISECUADORVE,#AMAZON,#AMBATO,#AMERICALATINA,#APARTMENT,#AREYOUREADY,#ARGENTINA,#ARUTAMECOTOURS,#BESTBUY,#BICICLETA,#BIKE,#BIODEGRADABLES,#BIRDPHOTOGRAPHY,#BIRDS,#BOGOTA,#BSC,#CAMACHO,#CAMBIO,#CARLOSALBERTOSALSOTECA,#CASADELARBOL,#CELAC,#CHEVRON,#CHIMBORAZO,#CINEMA,#CINEMATOGRAPHY,#COLORFUL,#COMUNIDADVIVA,#CONVIVENCIASOCIALPACIFICA,#CUENCA,#DAILYPHOTO,#DERECHA,#DESTINA,#DIDYOUKNOW,#DJI,#DJIPHANTOM,#E,#EC,#ECU,#ECUADORIAN,#ECUADORQUITO,#ECUADORTODA,#ECUAFOTO,#ELCOMERCIO,#ENDANGERED,#ENLACE459,#ENVIOSATODO,#ESPAÑA,#EVOLUCION,#FARC,#FARM,#FELIZDOMINGO,#FL,#FORECAST,#FORMADEVIDA,#FOTO,#FOTOGRAFIA,#FRIOBAMBA,#FUTBOL,#GALAPAGOS,#GOLPISTA,#GOPRO,#GUAYAQUIL,#GUAYASAMIN,#IESS,#ISLANDS,#JETTA,#KONCEPT,#L,#LANDSCAPE,#LATAM,#LATINOBAROMETRO,#LDU,#LIKE20,#LIKE4,#MACAS,#MACRI,#MACRIDICTADOR,#MANTA,#MARKET,#MARKETEROSNOCTURNOS,#MARKETRESEARCHREPORTS,#MIAMI,#MITADDELMUNDO,#MONTANITA,#MONTAÑA,#MORONA,#NAVIDAD,#NICOLASMADURO,#NIKON,#NIKOND90,#NIKONP,#NIKONPHOTOGRAPHY,#NOCHEAMARILLA,#NOESTERRORISMO,#NOTICIAS,#ONLINE,#OPERATOR,#OPOSICION,#ORLANDO,#PAIS,#PAISAJE,#PANAMA,#PAPAGEI,#PARADISE,#PARQUEHISTORICOGUAYAQUIL,#PARROT,#PATRIA,#PAZDECOCAINA,#PERSONALIZADAS,#PHOTO,#PHOTOGRAPHY,#PHOTOGRID,#PHOTOSDELACALLE,#PIC,#PICSTITCH,#PINTOFOTOGRAFIA,#PLANEDIA,#PNL,#POBRES,#QUITO,#QUITOCALLE,#QUITOECUADOR,#RC,#REAL,#RIOBAMBA,#SALSA,#SEGURIDADCIUDADANA,#SOBERANIACIUDADANA,#SOUTHAMERICA,#SUEOS,#SUPERBOWL,#TELEFERICO,#THULE,#TOUR,#TOURISM,#TRAVEL,#TTOT,#TUNGURAHUA,#UNASUR,#VAMOSPORMAS,#VCAM,#VCM,#VENDEPATRIA,#VENEZOLANA,#VENEZUELA,#VIVELASEGURIDAD,#VIVERADICAL,#VOLCANO,#VOLCANTUNGURAHUA,#VW,#WATE,#WEDDING,#WEDDINGDAY,#WILDLIFE,#YEWWW,#YOSOYRC}
@attribute retweet {SI,NO}
@attribute favorite {SI,NO}

@data
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#ECUAFOTO,NO,SI
VEGA_JARRIN,#PHOTOGRAPHY,SI,SI
VEGA_JARRIN,#QUITO,SI,NO
VEGA_JARRIN,#PINTOFOTOGRAFIA,NO,NO
VEGA_JARRIN,#PHOTO,SI,NO
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#AMAZON,SI,NO
VEGA_JARRIN,#PARROT,NO,SI
VEGA_JARRIN,#ARUTAMECOTOURS,NO,NO
VEGA_JARRIN,#PAPAGEI,NO,SI
VEGA_JARRIN,#BIRDS,SI,NO
VEGA_JARRIN,#COLORFUL,SI,NO
VEGA_JARRIN,#WILDLIFE,NO,SI
VEGA_JARRIN,#TOURISM,NO,SI
VEGA_JARRIN,#BIRDPHOTOGRAPHY,SI,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#QUITO,NO,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#TELEFERICO,NO,NO
VEGA_JARRIN,#QUITO,SI,SI
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#ABUELITA,SI,SI
VEGA_JARRIN,#PHOTOGRID,SI,NO
VEGA_JARRIN,#PHOTO,NO,SI
VEGA_JARRIN,#VCM,SI,NO
VEGA_JARRIN,#VCAM,SI,NO
VEGA_JARRIN,#ABUELA,SI,NO
VEGA_JARRIN,#FOTOGRAFIA,NO,SI
VEGA_JARRIN,#FORMADEVIDA,SI,NO
VEGA_JARRIN,#FOTO,NO,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#RIOBAMBA,SI,NO
VEGA_JARRIN,#FARM,NO,SI
VEGA_JARRIN,#NIKONPHOTOGRAPHY,NO,NO
VEGA_JARRIN,#NIKON,NO,SI
VEGA_JARRIN,#PHOTOSDELACALLE,SI,NO
VEGA_JARRIN,#NIKOND90,SI,SI
VEGA_JARRIN,#NIKONP,SI,NO
VEGA_JARRIN,#SALSA,SI,NO
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#GUAYAQUIL,SI,SI
VEGA_JARRIN,#CARLOSALBERTOSALSOTECA,NO,SI
VEGA_JARRIN,#DIDYOUKNOW,SI,SI
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#LATAM,SI,SI
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#ISLANDS,NO,NO
VEGA_JARRIN,#PLANEDIA,NO,SI
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#MARKET,SI,SI
VEGA_JARRIN,#FORECAST,NO,SI
VEGA_JARRIN,#MARKETRESEARCHREPORTS,SI,NO
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#DIDYOUKNOW,SI,SI
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#LATAM,SI,SI
VEGA_JARRIN,#DIDYOUKNOW,SI,SI
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#LATAM,SI,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#TRAVEL,NO,NO
VEGA_JARRIN,#TTOT,NO,NO
VEGA_JARRIN,#ALLYOUNEEDISECUADOR,SI,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#BICICLETA,NO,NO
VEGA_JARRIN,#PERSONALIZADAS,SI,NO
VEGA_JARRIN,#GUAYAQUIL,SI,NO
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#CAMACHO,NO,NO
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#QUITO,SI,NO
VEGA_JARRIN,#QUITOECUADOR,SI,NO
VEGA_JARRIN,#QUITOCALLE,SI,SI
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#ECUADORIAN,SI,SI
VEGA_JARRIN,#EC,SI,SI
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#QUITO,NO,SI
VEGA_JARRIN,#QUITOCALLE,NO,SI
VEGA_JARRIN,#QUITOECUADOR,NO,SI
VEGA_JARRIN,#APARTMENT,NO,NO
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#E,NO,SI
VEGA_JARRIN,#MONTANITA,NO,SI
VEGA_JARRIN,#GALAPAGOS,SI,NO
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#BSC,SI,SI
VEGA_JARRIN,#BSC,SI,NO
VEGA_JARRIN,#ENDANGERED,SI,SI
VEGA_JARRIN,#ECUADORTODA,NO,SI
VEGA_JARRIN,#POBRES,SI,NO
VEGA_JARRIN,#PATRIA,SI,NO
VEGA_JARRIN,#BSC,NO,NO
VEGA_JARRIN,#BSC,NO,SI
VEGA_JARRIN,#CONVIVENCIASOCIALPACIFICA,NO,SI
